,title,comb
144,Flushed Away,David Bowers Hugh Jackman Kate Winslet David Suchet Adventure Animation Comedy Family
145,Pan,Joe Wright Hugh Jackman Cara Delevingne Nonso Anozie Adventure Family Fantasy
146,Mr. Peabody & Sherman,Rob Minkoff Ty Burrell Zach Callison Karan Brar Adventure Animation Comedy Family Sci-Fi
147,Troy,Wolfgang Petersen Brad Pitt Orlando Bloom Julian Glover Adventure
148,Madagascar 3: Europe's Most Wanted,Eric Darnell Jada Pinkett Smith Martin Short Cedric the Entertainer Adventure Animation Comedy Family
149,Die Another Day,Lee Tamahori Toby Stephens Colin Salmon Rick Yune Action Adventure Thriller
150,Ghostbusters,Paul Feig Ed Begley Jr. Kate McKinnon Zach Woods Action Comedy Fantasy Sci-Fi
151,Armageddon,Michael Bay Bruce Willis Steve Buscemi Will Patton Action Adventure Sci-Fi Thriller
152,Men in Black II,Barry Sonnenfeld Will Smith Rosario Dawson Rip Torn Action Adventure Comedy Family Fantasy Mystery Sci-Fi
153,Beowulf,Robert Zemeckis Robin Wright Anthony Hopkins Sebastian Roché Action Adventure Animation Fantasy
154,Kung Fu Panda 3,Alessandro Carloni J.K. Simmons Angelina Jolie Pitt Wayne Knight Action Adventure Animation Comedy Family
155,Mission: Impossible - Ghost Protocol,Brad Bird Tom Cruise Jeremy Renner Michael Nyqvist Action Adventure Thriller
156,Rise of the Guardians,Peter Ramsey Hugh Jackman Kamil McFadden Khamani Griffin Adventure Animation Family Fantasy
157,Fun with Dick and Jane,Dean Parisot John Michael Higgins Richard Burgi David Herman Comedy Crime
158,The Last Samurai,Edward Zwick Tom Cruise Tony Goldwyn Chad Lindberg Action Drama History War
159,Exodus: Gods and Kings,Ridley Scott Christian Bale María Valverde Ben Mendelsohn Action Adventure Drama
160,Star Trek,J.J. Abrams Chris Hemsworth Leonard Nimoy Bruce Greenwood Action Adventure Sci-Fi
161,Spider-Man,Sam Raimi J.K. Simmons James Franco Kirsten Dunst Action Adventure Fantasy Romance
162,How to Train Your Dragon 2,Dean DeBlois Gerard Butler Djimon Hounsou America Ferrera Action Adventure Animation Comedy Family Fantasy
163,Gods of Egypt,Alex Proyas Gerard Butler Elodie Yung Bryan Brown Action Adventure Fantasy
164,Stealth,Rob Cohen Sam Shepard Joe Morton Richard Roxburgh Action Adventure Sci-Fi Thriller
165,Watchmen,Zack Snyder Matt Frewer Billy Crudup Stephen McHattie Action Drama Mystery Sci-Fi
166,Lethal Weapon 4,Richard Donner Jet Li Rene Russo Darlene Love Action Crime Thriller
167,Hulk,Ang Lee Kevin Rankin Regi Davis Celia Weston Action Sci-Fi
168,G.I. Joe: Retaliation,Jon M. Chu Channing Tatum Dwayne Johnson Elodie Yung Action Adventure Sci-Fi Thriller
169,Sahara,Breck Eisner Matthew McConaughey Rainn Wilson Delroy Lindo Action Adventure Comedy Thriller
170,Final Fantasy: The Spirits Within,Hironobu Sakaguchi Steve Buscemi Ming-Na Wen Jean Simmons Action Adventure Animation Fantasy Romance Sci-Fi
171,Captain America: The First Avenger,Joe Johnston Chris Evans Dominic Cooper Hayley Atwell Action Adventure Sci-Fi
172,The World Is Not Enough,Michael Apted Colin Salmon Maria Grazia Cucinotta Desmond Llewelyn Action Adventure Thriller
173,Master and Commander: The Far Side of the World,Peter Weir James D'Arcy Lee Ingleby David Threlfall Action Adventure Drama History War
174,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon Robert Pattinson Kristen Stewart Taylor Lautner Adventure Drama Fantasy Romance
175,Happy Feet 2,George Miller Robin Williams Brad Pitt Common Animation Comedy Family Musical
176,The Incredible Hulk,Louis Leterrier Ty Burrell Peter Mensah William Hurt Action Adventure Sci-Fi
177,Miami Vice            , Don Johnson Philip Michael Thomas John Diehl Action Crime Drama Mystery Thriller
178,The BFG,Steven Spielberg Mark Rylance Penelope Wilton Rafe Spall Adventure Family Fantasy
179,The Revenant,Alejandro G. Iñárritu Leonardo DiCaprio Tom Hardy Lukas Haas Adventure Drama Thriller Western
180,Turbo,David Soren Ryan Reynolds Snoop Dogg Ben Schwartz Adventure Animation Comedy Family Sport
181,Rango,Gore Verbinski Johnny Depp Ray Winstone Stephen Root Adventure Animation Comedy Family Western
182,Penguins of Madagascar,Eric Darnell Benedict Cumberbatch Annet Mahendru Andy Richter Adventure Animation Comedy Family
183,The Bourne Ultimatum,Paul Greengrass Matt Damon Edgar Ramírez Albert Finney Action Mystery Thriller
184,Kung Fu Panda,Mark Osborne Angelina Jolie Pitt Wayne Knight Dan Fogler Action Adventure Animation Comedy Family
185,Ant-Man,Peyton Reed Judy Greer Hayley Atwell T.I. Action Adventure Comedy Sci-Fi
186,The Hunger Games: Catching Fire,Francis Lawrence Jennifer Lawrence Josh Hutcherson Sandra Ellis Lafferty Adventure Sci-Fi Thriller
187,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon Robert Pattinson Kristen Stewart Taylor Lautner Adventure Drama Fantasy Romance
188,Home,Tim Johnson Jim Parsons Matt Jones April Winchell Adventure Animation Comedy Family Fantasy Sci-Fi
189,War of the Worlds,Steven Spielberg Tom Cruise Lisa Ann Walter Rick Gonzalez Adventure Sci-Fi Thriller
190,Bad Boys II,Michael Bay Will Smith Henry Rollins Jordi Mollà Action Comedy Crime Thriller
191,Puss in Boots,Chris Miller Salma Hayek Constance Marie Amy Sedaris Action Adventure Animation Comedy Family Fantasy
192,Salt,Phillip Noyce Angelina Jolie Pitt Andre Braugher August Diehl Action Crime Mystery Thriller
193,Noah,Darren Aronofsky Anthony Hopkins Emma Watson Logan Lerman Action Adventure Drama
194,The Adventures of Tintin,Steven Spielberg Toby Jones Mackenzie Crook Tony Curran Action Adventure Family Mystery
195,Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón Daniel Radcliffe Gary Oldman Rupert Grint Adventure Family Fantasy Mystery
196,Australia,Baz Luhrmann Essie Davis Bryan Brown Eddie Baroo Adventure Drama Romance War
197,After Earth,M. Night Shyamalan Will Smith Zoë Kravitz Glenn Morshower Action Adventure Sci-Fi
198,Dinosaur,Eric Leighton Alfre Woodard D.B. Sweeney Della Reese Adventure Animation Family Thriller
199,Harry Potter and the Deathly Hallows: Part II,Matt Birch Rupert Grint Dave Legeno Ralph Ineson Action Fantasy
200,Night at the Museum: Secret of the Tomb,Shawn Levy Robin Williams Rami Malek Steve Coogan Adventure Comedy Family Fantasy
201,Megamind,Tom McGrath J.K. Simmons Brad Pitt Will Ferrell Action Animation Comedy Family Sci-Fi
202,Harry Potter and the Sorcerer's Stone,Chris Columbus Daniel Radcliffe Fiona Shaw Verne Troyer Adventure Family Fantasy
203,R.I.P.D.,Robert Schwentke Ryan Reynolds Jeff Bridges Stephanie Szostak Action Comedy Fantasy
204,Godzilla Resurgence,Hideaki Anno Mark Chinnery Shin'ya Tsukamoto Atsuko Maeda Action Adventure Drama Horror Sci-Fi
205,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski Johnny Depp Orlando Bloom Jack Davenport Action Adventure Fantasy
206,Harry Potter and the Deathly Hallows: Part I,Matt Birch Rupert Grint Toby Jones Alfred Enoch Fantasy
207,The Hunger Games: Mockingjay - Part 1,Francis Lawrence Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Adventure Sci-Fi Thriller
208,The Da Vinci Code,Ron Howard Tom Hanks Seth Gabel Jürgen Prochnow Mystery Thriller
209,Rio 2,Carlos Saldanha Miguel Ferrer Rachel Crow Jeffrey Garcia Adventure Animation Comedy Family Musical
210,X-Men 2,Bryan Singer Hugh Jackman Bruce Davison Aaron Stanford Action Adventure Fantasy Sci-Fi Thriller
211,Fast Five,Justin Lin Paul Walker Vin Diesel Dwayne Johnson Action Crime Thriller
212,Sherlock Holmes: A Game of Shadows,Guy Ritchie Robert Downey Jr. Eddie Marsan Paul Anderson Action Adventure Crime Mystery Thriller
213,Clash of the Titans,Louis Leterrier Liam Neeson Jason Flemyng Alexa Davalos Action Adventure Fantasy
214,Total Recall,Paul Verhoeven Ronny Cox Rachel Ticotin Marshall Bell Action Sci-Fi
215,The 13th Warrior,John McTiernan Tony Curran Vladimir Kulich Clive Russell Action Adventure History
216,The Bourne Legacy,Tony Gilroy Jeremy Renner Scott Glenn Stacy Keach Action Adventure Thriller
217,Batman & Robin,Joel Schumacher Michael Gough Vivica A. Fox John Glover Action
218,How the Grinch Stole Christmas,Ron Howard Clint Howard T.J. Thyne Molly Shannon Comedy Family Fantasy
219,The Day After Tomorrow,Roland Emmerich Jake Gyllenhaal Dennis Quaid Sela Ward Action Adventure Sci-Fi Thriller
220,Mission: Impossible II,John Woo Tom Cruise Dougray Scott Richard Roxburgh Action Adventure Thriller
221,The Perfect Storm,Wolfgang Petersen Karen Allen Mary Elizabeth Mastrantonio Bob Gunton Action Adventure Drama Thriller
222,Fantastic 4: Rise of the Silver Surfer,Tim Story Chris Evans Ioan Gruffudd Andre Braugher Action Adventure Sci-Fi Thriller
223,Life of Pi,Ang Lee Suraj Sharma Rafe Spall Tabu Adventure Drama Fantasy
224,Ghost Rider,Mark Steven Johnson Nicolas Cage Matt Long Peter Fonda Action Fantasy Thriller
225,Jason Bourne,Paul Greengrass Matt Damon Riz Ahmed Ato Essandoh Action Thriller
226,Charlie's Angels: Full Throttle,McG Demi Moore Bernie Mac Justin Theroux Action Adventure Comedy Crime
227,Prometheus,Ridley Scott Michael Fassbender Charlize Theron Sean Harris Adventure Mystery Sci-Fi
228,Stuart Little 2,Rob Minkoff Nathan Lane Brad Garrett Melanie Griffith Adventure Animation Comedy Family Fantasy
229,Elysium,Neill Blomkamp Matt Damon Sharlto Copley Alice Braga Action Drama Sci-Fi Thriller
230,The Chronicles of Riddick,David Twohy Vin Diesel Alexa Davalos Christina Cox Action Adventure Sci-Fi Thriller
231,RoboCop,José Padilha Gary Oldman Abbie Cornish Jennifer Ehle Action Crime Sci-Fi Thriller
232,Speed Racer,Lana Wachowski Scott Porter Kick Gurry Nicholas Elia Action Family Sport
233,How Do You Know,James L. Brooks Shelley Conn Domenick Lombardozzi Teyonah Parris Comedy Drama Romance
234,Knight and Day,James Mangold Tom Cruise Marc Blucas Jordi Mollà Action Comedy Romance
235,Oblivion,Joseph Kosinski Morgan Freeman Tom Cruise Zoë Bell Action Adventure Mystery Sci-Fi
236,Star Wars: Episode III - Revenge of the Sith,George Lucas Natalie Portman Christopher Lee Hayden Christensen Action Adventure Fantasy Sci-Fi
237,Star Wars: Episode II - Attack of the Clones,George Lucas Natalie Portman Christopher Lee Hayden Christensen Action Adventure Fantasy Sci-Fi
238,"Monsters, Inc.",Pete Docter Steve Buscemi John Ratzenberger James Coburn Adventure Animation Comedy Family Fantasy
239,The Wolverine,James Mangold Hugh Jackman Tao Okamoto Rila Fukushima Action Adventure Sci-Fi Thriller
240,Star Wars: Episode I - The Phantom Menace,George Lucas Natalie Portman Liam Neeson Ian McDiarmid Action Adventure Fantasy Sci-Fi
241,The Croods,Kirk De Micco Ryan Reynolds Emma Stone Nicolas Cage Adventure Animation Comedy Family Fantasy
242,Asterix at the Olympic Games,Frédéric Forestier Alain Delon Santiago Segura Vanessa Hessler Adventure Comedy Family Fantasy
243,Windtalkers,John Woo Nicolas Cage Roger Willie Noah Emmerich Action Drama War
